id,title,location,price,m2,type,status,floor,description,n_photos,n_rooms,n_bathrooms,particular,luxury,video,virtual_tour,3d_tour,homestaging,plane,air_conditioning,heating,elevator,furnished,terrace,consume,emisions
104824591,Piso en venta en calle Reino Unido,"Buenavista-Valparaíso-La Legua, Toledo",304900,120,flat,Segunda mano/buen estado,1.0,"Agencia inmobiliaria en Toledo zona Avenida Europa - Tecnocasa ESTUDIO CIUDAD DEL GRECO SLUVENDE PISO EN TOLEDO, en Calle Reino Unido.La vivienda se encuentra en una urbanización privada con zonas comunes y PISCINA COMUNITARIA.El piso está compuesto por amplio SALÓN, COCINA amueblada y equipada con electrodomésticos, terraza-tendedero, 3 DORMITORIOS y 2 BAÑOS COMPLETOS. El dormitorio principal dispone de baño en suite.Cuenta con ARMARIOS EMPOTRADOS y AIRE ACONDICIONADO.Vivienda COMPLETAMENTE EXTERIOR.Se entregará con plaza de GARAJE en el mismo bloque.Accede al TOUR VIRTUAL a través de nuestra página web.La vivienda se encuentra en la zona de la Av. Europa, uno de los mejores barrios de Toledo con todos los servicios primarios y de ocio a escasos metros, como colegios, supermercados, centro de salud, farmacia, tiendas, bares, restaurantes y una estupenda comunicación con la línea de autobuses urbanos que comunica con todo el municipio de TOLEDO. También se encuentra situada con una excelente comunicación tanto de entrada como de salida a la ciudad de Toledo, permitiendo que en escasos minutos se pueda acceder o salir a la autovía a-42.",41.0,3,2,False,False,False,True,False,True,True,True,Calefacción individual: Gas natural,True,,,D,D
106518558, Chalet adosado en venta en Buenavista-Valparaíso-La Legua,Toledo,229000,177,house,Segunda mano/buen estado,2.0,"¡Descubre el hogar de tus sueños en La Legua! Este magnífico chalet adosado ( VPT) te ofrece la combinación perfecta de comodidad y estilo. Situado en una urbanización que cuenta con todos los servicios, este inmueble está listo para que entres a vivir. Con 177 m² distribuidos en dos plantas, la vivienda destaca por su luminosidad y su diseño exterior.En la planta baja, encontrarás un amplio salón con aire acondicionado, junto a un baño completo y un dormitorio con armario empotrado. La cocina independiente, completamente amueblada, tiene acceso directo al patio trasero, perfecto para disfrutar de tus momentos al aire libre. La primera planta alberga tres grandes dormitorios exteriores. El dormitorio principal cuenta con un baño en suite y aire acondicionado, asegurando tu confort durante todo el año. Completan esta planta otro baño completo y más espacio de almacenamiento con armarios empotrados.Con una parcela de 156 m² y una plaza de garaje incluida, esta propiedad es una oportunidad única en el mercado. Calefacción de gas natural. No dejes pasar esta oportunidad de vivir en un entorno privilegiado y en una casa que lo tiene todo. Sin comisión para el comprador ¡Ven a visitarla y enamórate!",23.0,4,3,False,False,False,False,False,True,True,True,Calefacción individual: Gas natural,,,Terraza y balcón,,
106395641,Piso en venta en Buenavista-Valparaíso-La Legua,Toledo,295000,126,flat,Segunda mano/buen estado,4.0,"PISO en Buenavista (Toledo) compuesto por SALÓN, 4 DORMITORIOS, COCINA, 2 BAÑOS. Con PISCINA COMUNITARIA, GARAJE Y TRASTERO. CALEFACCIÓN DE GAS NATURAL Y AIRE ACONDICIONADO.SALÓN amplio, con espacio para situar todo el mobiliario, y diferenciar dos áreas, una a modo de salón donde situar el sofá con la tv, y otra zona de comedor, donde se sitúa la mesa con sillas, ideal para reuniones con familia o amigos más formales. Con salida a TERRAZA.Cuenta con 4 DORMITORIOS, amplios, luminosos, con espacio para situar todo el mobiliario, con ARMARIOS EMPOTRADOS algunos de ellos. DORMITORIO principal tipo suite con baño incorporado, el cual cuenta con plato de ducha. Con ARMARIO EMPOTRADO.COCINA con salida a TERRAZA, donde se sitúa el tendedero. Amplia, con mobiliario alto y bajo, gran capacidad de almacenaje y espacio para situar todos los electrodomésticos: lavadora, frigorífico, vitrocerámica, horno, lavavajillas, etc. Con espacio para situar una mesa, ideal para comidas y/o cenas más informales.BAÑO completo con bañera con mampara. El otro BAÑO es completo con plato de ducha con mampara. Se sitúa dentro del dormitorio principal.Se sitúa en Buenavista, muy próximo a todos los servicios: supermercados, bares, restaurantes, centro de salud, farmacia, gimnasios, bancos, colegios, etcétera.El edificio cuenta con zonas comunes, zonas verdes, PISICINA COMUNITARIA y zonas para aparcamiento privadas dentro de la urbanización. Cuenta con ASCENSOR.Cuenta con PLAZA DE GARAJE en el edificio. Y con TRASTERO de 13 metros cuadrados. Ideal como desahogo de la vivienda para una correcta organización. REFERENCIA DEL INMUEBLE: TOTOBU1476Si quieres visitarlo, llámanos ahora y acuerda una visita sin compromiso. La Botica Inmobiliaria es la primera inmobiliaria de TARIFA PLANA. Con La Botica Inmobiliaria puedes vender tu casa desde una tarifa fija de 2.000 € + IVA.Si vendes o alquilas tu casa te ofrecemos un servicio de marketing exclusivo, realizando una difusión simultánea en más de 50 portales inmobiliarios, haciendo fotos y planos profesionales y dando asesoramiento completo desde el inicio hasta el final.Entra en nuestra web y VENDE tu casa con La Botica Inmobiliaria AHORRANDO miles de euros en comisiones. ¿Por qué no?*Precio fijo, sin % comisión *Sin pagos mensuales, ni por adelantado *Consigue el mejor precio.Entra en y consigue una valoración gratuita de tu vivienda.****Precio fijo, sin % de comisión.****Sin pagos mensuales.****Sin pagos por adelantado.Infórmate en nuestro sitio web de todas las condiciones.*Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual.Gastos de compraventa y honorarios NO incluidos en el precio.",52.0,4,2,False,False,False,True,False,True,True,True,Calefacción individual: Gas natural,True,,Terraza,E,E
106637745, Chalet adosado en venta en Buenavista-Valparaíso-La Legua,Toledo,410800,228,house,Segunda mano/buen estado,2.0,"VENTA CHALET EN LA LEGUA CON PLACAS SOLARES Y PISCINAMagnifica vivienda en la Urbanización La Legua (Toledo), construida en el año 2003, consta de una superficie construida de 228 m² sobre una parcela de 309m².La vivienda se distribuye:Comenzando por la planta baja, entramos a un gran distribuidor que nos comunica todas las estancias, encontrándonos con una cocina amueblada con lavadero/despensa, una zona de salón con aire acondicionado, junto a un dormitorio individual, por último tenemos un baño completo con plato de ducha.En la planta primera, la propiedad cuenta con cuatro amplios dormitorios, uno de los cuales es doble el cual dispone de baño en suite para mayor comodidad y privacidad. Los otros tres dormitorios individuales cuenta con un baño común propio.La vivienda dispone de calefacción por caldera de gas, la cual ha sido recientemente renovada. Tiene garaje con dos cocheras independientes y preinstalación de punto de carga para coche eléctrico. Además, el inmueble está equipada con placas solares, lo que permite un ahorro energético, con capacidad de autoconsumo, cubriendo la necesidad energetica de la vivienda.Por último y no menos importante, el inmueble cuenta con un amplio patio trasero, con una magnífica piscina en funcionamiento y barbacoa. En la parte delantera encontramos un patio con jardín y zona con toldos, con espacio para una mesa.Solicite visita sin compromiso.No cobramos comisión al comprador.",28.0,5,3,False,False,False,True,False,True,True,True,Calefacción individual: Gas natural,,,Terraza,,
106302301, Chalet adosado en venta en Buenavista-Valparaíso-La Legua,Toledo,338000,190,house,Segunda mano/buen estado,2.0,"CHALET ADOSADO con PISCINA COMUNITARIA, en la zona de Valparaíso (Toledo), compuesto por 2 plantas, con SALÓN, COCINA, 5 DORMITORIOS y 3 BAÑOS. Con CALEFACCIÓN DE GAS NATURAL, y AIRE ACONDICIONADO. Con GARAJE tipo americano. En muy estado, con orientación suroeste. Con PORCHE de madera natural, único en la zona. TRASTERO y puerta de GARAJE AUTOMÁTICA, con dispositivo de antibloqueo y señal luminosa de apertura y cierre.Se accede a la vivienda a través de un amplio hall de entrada desde el cual se distribuyen el resto de estancias de la vivienda. ROPERO-VESTIDOR con espejo y armarios empotrados.SALÓN amplio, con salida al JARDÍN, con espacio para diferenciar dos áreas, a modo de salón donde situar el sofá con la televisión, y otra zona a modo de comedor, donde colocar la mesa con sillas, ideal para reuniones en familia y/o con amigos. Se accede a otra zona a modo de COMEDOR con AIRE ACONDICIONADO, con salida al JARDÍN.En la planta baja se sitúa 1 ESTANCIA, con multitud de usos, con amplios ventanales que dan al jardín trasero de la vivienda.El inmueble cuenta con VESTIDOR. Ideal como desahogo de la vivienda y para una correcta organización. ASEO en planta baja.COCINA completa con mobiliario alto y bajo, gran capacidad de almacenaje, y espacio para situar todos los electrodomésticos: horno, vitrocerámica, campana extractora, frigorífico, etcétera. Cuenta con zona de DESPENSA. Y con vistas al PATIO DELANTERO.En la planta alta hay AIRE ACONDICIONADO en la zona del hall, el cual se distribuye por el resto de estancias. DORMITORIOS amplios, luminosos, con espacio para situar todo el mobiliario. Todos los dormitorios cuentan con ARMARIOS EMPOTRADOS, ideales para una organización correcta, salvo la habitación que se destina a despachoDORMITORIO principal con AIRE ACONDICIONADO, con ARMARIO EMPOTRADO y tipo suite con BAÑO INCORPORADO. Con salida a TERRAZA, de amplias dimensiones. 4 DORMITORIOS en la 1ª planta.BAÑO completo con plato de ducha con mampara. El otro BAÑO es completo con bañera, y como extra cuenta con ventana exterior, ideal para una correcta ventilación.PATIO con espacio para situar un cenador, toldo, y/o piscina desmontable. Como EXTRA la vivienda se sitúa en una URBANIZACIÓN CON PISCINA COMUNITARIA, con zonas deportivas y zonas verdes. En la zona del jardín se sitúa una estancia a modo de trastero, ideal como desahogo y para almacenaje de productos de limpieza y/o jardinería. El PATIO delantero cuenta con porche, ideal de amplias dimensiones a modo de GARAJE americano.Como EXTRA la vivienda cuenta con puertas lacadas en blanco, ducha privada exterior con posibilidad de riego por goteo en el jardín, y acceso por puerta trasera a zona común con PISCINA, pista de pádel y zona ajardinada con columpios.REFERENCIA DEL INMUEBLE: TOTOBU1467Si quieres visitarlo, llámanos ahora y acuerda una visita sin compromiso. La Botica Inmobiliaria es la primera inmobiliaria de TARIFA PLANA.Con La Botica Inmobiliaria puedes vender tu casa desde una tarifa fija de 2.000 € + IVA.Si vendes o alquilas tu casa te ofrecemos un servicio de marketing exclusivo, realizando una difusión simultánea en más de 50 portales inmobiliarios, haciendo fotos y planos profesionales y dando asesoramiento completo desde el inicio hasta el final.Entra en nuestra web y VENDE tu casa con La Botica Inmobiliaria AHORRANDO miles de euros en comisiones. ¿Por qué no?*Precio fijo, sin % comisión *Sin pagos mensuales, ni por adelantado *Consigue el mejor precio.Entra en y consigue una valoración gratuita de tu vivienda.****Precio fijo, sin % de comisión.****Sin pagos mensuales.****Sin pagos por adelantado.*Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual.Gastos de compraventa y honorarios de gestión inmobiliaria NO incluidos en el precio.",76.0,5,3,False,False,False,True,False,True,True,True,Calefacción individual: Gas natural,,,,E,E
105965562, Chalet pareado en venta en Buenavista-Valparaíso-La Legua,Toledo,239000,177,house,Segunda mano/buen estado,2.0,"CHALET PAREADO VPT (Vivienda de Precio Tasado) situado en La Legua (Toledo), consta de 2 plantas, en PLANTA BAJA se sitúa SALÓN, COCINA con salida al PATIO, 1 DORMITORIO y 1 BAÑO. En PRIMERA PLANTA se sitúan 3 DORMITORIOS y 2 BAÑOS completos. Cuenta con GARAJE. Con CALEFACCIÓN DE GAS NATURAL y AIRE ACONDICIONADO. La entrega de la vivienda sería a partir de agosto de 2025.Se accede a través de un hall de entrada desde el cual se da acceso al resto de estancias de la vivienda. SALÓN amplio, luminoso con AIRE ACONDICIONADO y espacio para diferenciar dos espacios, uno a modo de salón y otro a modo de comedor.DORMITORIO con ARMARIO EMPOTRADO, luminoso, con espacio para situar todo el mobiliario. BAÑO COMPLETO en planta baja, el cual cuenta con DUCHA con mampara.DORMITORIO PRINCIPAL tipo suite, con AIRE ACONDICIONADO y BAÑO INCORPORADO, el cual cuenta con bañera con mampara, y como extra con ventana exterior, ideal para una correcta ventilación. Con salida a TERRAZA.Los otros dos DORMITORIOS cuentan también con AIRE ACONDICIONADO y salida a terraza, con ARMARIO EMPOTRADO.ARMARIO EMPOTRADO de grandes dimensiones en hall, ideal como desahogo y para una correcta organización del inmueble.COCINA amueblada con mobiliario alto y gran capacidad de almacenaje, con espacio para situar todos los electrodomésticos: lavavajillas, lavadora, vitrocerámica, campana extractora, frigorífico, horno, microondas, etc. Con espacio para situar una mesa con sillas, ideal para comidas y/o cenas más informales. Cuenta con salida al PATIO.La vivienda cuenta con GARAJE, amplio, con espacio para situar almacenaje a modo de trastero. Como EXTRA la vivienda cuenta con mosquiteras en toda la casa.La vivienda es VPT, los requisitos de compra son:•Inscripción en el registro de demandantes de vivienda.•No tener vivienda en propiedad (salvo excepciones, en precio tasado te permite la titularidad de 1 única vivienda libre si el valor de esta no supera el 80% del precio máximo de la VPT)•No superar unos ingresos corregidos de 7,5 veces el IPREM (87.500€ de suma de las casillas base imponible general y del ahorro en la última renta).REFERENCIA DEL INMUEBLE: TOTOBU1463Si quieres visitarlo, llámanos ahora y acuerda una visita sin compromiso. La Botica Inmobiliaria es la primera inmobiliaria de TARIFA PLANA.Con La Botica Inmobiliaria puedes vender tu casa desde una tarifa fija de 1.650 € + IVA.Si vendes o alquilas tu casa te ofrecemos un servicio de marketing exclusivo, realizando una difusión simultánea en más de 50 portales inmobiliarios, haciendo fotos y planos profesionales y dando asesoramiento completo desde el inicio hasta el final.Entra en nuestra web y VENDE tu casa con La Botica Inmobiliaria AHORRANDO miles de euros en comisiones. ¿Por qué no?*Precio fijo, sin % comisión *Sin pagos mensuales, ni por adelantado *Consigue el mejor precio.Entra en y consigue una valoración gratuita de tu vivienda.****Precio fijo, sin % de comisión.****Sin pagos mensuales.****Sin pagos por adelantado.Infórmate en nuestro sitio web de todas las condiciones.*Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual.Gastos de compraventa y honorarios de gestión inmobiliaria NO incluidos en el precio.",64.0,4,3,False,False,False,True,False,True,True,True,Calefacción individual: Gas natural,,,,D,D
106431716,Piso en venta en Urbanizacion Tres Culturas,"Buenavista-Valparaíso-La Legua, Toledo",247000,110,flat,Segunda mano/buen estado,1.0,"GRUPO SUPERCASA Vende EXCELENTE para entrar a vivir piso de 110m² en 1ª planta con ASCENSOR en la Urbanización Tres Culturas con PISCINA Y PISTAS DEPORTIVAS comunitarias.La vivienda se compone de amplio salón con terraza, cocina totalmente amueblada con terraza/tendedero, 3 dormitorios y 2 baños completos. El dormitorio principal tipo suite con baño integrado. La vivienda cuenta con plaza de garaje y trastero incluido.Estamos en Paseo San Eugenio 1- GRUPO SUPERCASA TOLEDO.Tu objetivo es nuestro deber. Tu satisfacción nuestro compromiso.",66.0,3,2,False,False,False,True,False,True,True,False,Calefacción individual: Gas natural,True,,Terraza,,
98420492, Casa o chalet independiente en venta en calle Gorrión,"Buenavista-Valparaíso-La Legua, Toledo",698000,400,house,Segunda mano/buen estado,,"MAISONDIX ofrece CHALET INDEPENDIENTE en Urbanización CIGARRALES DE VISTAHERMOSA TOLEDO.Ubicada en una de las mejores Urbanizaciones de la ciudad, se encuentra esta vivienda principalmente en UNA PLANTA con dos amplios porches, PISCINA y jardín.Todas las estancias principales se distribuyen en la planta de acceso para conseguir que la comodidad sea, sin lugar a dudas, la característica más destacable de la casa, amplio hall de entrada que da acceso a salón - comedor con salida al porche, cocina más habitación de lavado y despensa, dos habitaciones en suite con amplio vestidor cada una de ellas con baño incorporado, en la misma planta encontramos dos dormitorios más y baño.Planta superior, la galería distribuye dos habitaciones cada una de ellas con amplia terraza con vistas y baño. Detalles"" Suelos de tarima y suelos de piedra caliza en salón, amplios ventanales, vidrio de seguridad bajo emisivos y control solar, así como Fibra óptica 500mb, salón con chimenea en cassette, A/A""Dispone de DOS VIVIENDAS de invitados junto a porche y piscina totalmente equipadas, con cocinas.GARAJE exterior para cuatro coches.Ubicada a 1’5km del centro de TOLEDO y 35 min de MADRID, zona con Colegio Privado International School San Patricio TOLEDO, Club Social MONTEVERDE.“La CASA PERFECTA con las COMODIDADES de una GRAN CIUDAD”.",29.0,6,4,False,True,False,False,False,True,True,False,,,,Terraza y balcón,,
106620717, Casa o chalet en venta en calle Laurel Real,"Buenavista-Valparaíso-La Legua, Toledo",355000,232,house,Segunda mano/buen estado,,"¡Descubre el hogar de tus sueños en Urbanización Valparaíso, Toledo! Este maravilloso chalet familiar está diseñado para ofrecerte confort, elegancia y unas vistas espectaculares en una de las mejores zonas residenciales de la ciudad. Características principales: 4 dormitorios, incluyendo uno en suite para mayor comodidad. 3 baños completos y un aseo, con acabados modernos y funcionales. Cocina completamente amueblada y equipada con muebles de alta gama, perfecta para los amantes de la gastronomía. Salón a dos alturas que incluye un patio interior acristalado, creando un espacio luminoso y elegante que conecta con la cocina y el pasillo. Una gran terraza de 20 m² con vistas exclusivas al Alcázar de Toledo, la Catedral y los Montes de Toledo. Exterior y áreas de ocio: Parcela de 175 m², con una zona de juegos y disfrute de 60 m² equipada con: Chimenea. Aseo. Aire acondicionado. Porche con barbacoa, ideal para reuniones familiares. Un impresionante solárium en la parte superior para relajarte y disfrutar del sol. Extras que marcan la diferencia: Espacio amplio en la planta inferior para tu coche y trastero, con un gran armario empotrado para organización adicional. Urbanización tranquila y bien cuidada con zonas comunes de alta calidad. No pierdas la oportunidad de vivir en un lugar que combina comodidad, lujo y vistas inmejorables. ¡Mejor verlo en persona! Contacta ahora para concertar tu visita. .",36.0,4,4,False,False,False,False,False,True,True,True,,,,Terraza,,
106318664, Chalet adosado en venta en Buenavista-Valparaíso-La Legua,Toledo,355000,220,house,Segunda mano/buen estado,2.0,"¡ VENTA A PLAZOS A 5 AÑOS O EN ALQUILER CON OPCION A COMPRA ¡PRECIO DE VENTA: 355.000€ENTRADA INICIAL: 60.000€PRECIO FINAL DE LA VENTA A PLAZOS: 223.000€AMORTIZAS SIN INTERESES: 132.000€CUOTA: 1.200€Adosado en Toledo zona Valparaíso, 240 m2 construidos y 220 m2 útiles, 295 m. superficie parcela, 9 m2 de cocina equipada con despensa y acceso a terraza, 35 m2 de salón en 2 alturas, independiente, 12 m2 de terraza, 5 habitaciones; 3 amplias, con armarios empotrados y revestidos, 1 suite con vestidor y 1 sencilla, 3 baños; 2 con bañera y una con plato de ducha, propiedad para Entrar a vivir, carpintería interior de macizas, suelo de mármol, carpintería exterior de doble climalit, caldera de gas, jardín, porche, vivienda muy luminosa, patio, piscina comunitaria, puerta blindada y cerradura de seguridad, garaje de 2 plazas.Extras: autobuses, centros comerciales, centros médicos, cerca de universidad, colegios, hospitales, metro, parques, supermercados, tren, urbanización, vistas despejadas, zona de paso, zonas infantiles.Vivienda en una urbanización muy tranquila y luminosa, zona comunitaria y ajardinada y zona muy exclusiva, cerca de colegios, supermercados y con vistas a Toledo.COMUNIDAD: 55€ MENSUALES.",65.0,5,3,False,False,False,False,False,True,True,False,Calefacción individual: Gas natural,,,Terraza,G,G
